team,week,opponent,is_home
ARI,1,LAC,0
ARI,2,SEA,1
ARI,3,SF,0
ARI,4,NYG,0
ARI,5,DET,1
ARI,6,LAR,0
ARI,7,DEN,1
ARI,8,DAL,0
ARI,9,SEA,0
ARI,10,LAR,1
ARI,11,KC,0
ARI,12,WSH,1
ARI,13,PHI,1
ARI,15,NYJ,1
ARI,16,NO,0
ARI,17,LV,1
ATL,1,PIT,0
ATL,2,CAR,1
ATL,3,GB,0
ATL,4,NO,0
ATL,5,BAL,1
ATL,6,CHI,1
ATL,7,SF,1
ATL,8,TB,0
ATL,9,CIN,1
ATL,10,KC,1
ATL,12,MIN,0
ATL,13,DET,1
ATL,14,CLE,0
ATL,15,WSH,0
ATL,16,TB,1
ATL,17,NO,1
BAL,1,IND,0
BAL,2,NO,1
BAL,3,DAL,0
BAL,4,TEN,1
BAL,5,ATL,0
BAL,6,CLE,0
BAL,7,CIN,1
BAL,8,BUF,0
BAL,9,JAX,1
BAL,10,LAC,1
BAL,11,CAR,0
BAL,12,HOU,0
BAL,14,TB,1
BAL,15,PIT,0
BAL,16,CLE,1
BAL,17,CIN,0
BUF,1,HOU,0
BUF,2,DET,1
BUF,3,LAC,1
BUF,4,NE,1
BUF,5,LAR,0
BUF,6,LV,0
BUF,8,BAL,1
BUF,9,MIN,0
BUF,10,NYJ,0
BUF,11,MIA,1
BUF,12,KC,1
BUF,13,NE,0
BUF,14,GB,0
BUF,15,CHI,1
BUF,16,DEN,0
BUF,17,MIA,0
CAR,1,CHI,1
CAR,2,ATL,0
CAR,3,CLE,0
CAR,4,DET,1
CAR,6,PHI,0
CAR,7,TB,1
CAR,8,GB,0
CAR,9,DEN,1
CAR,10,NO,0
CAR,11,BAL,1
CAR,12,TB,0
CAR,13,MIN,0
CAR,14,NO,1
CAR,15,CIN,1
CAR,16,PIT,0
CAR,17,SEA,1
CHI,1,CAR,0
CHI,2,MIN,1
CHI,3,PHI,1
CHI,4,NYJ,1
CHI,5,GB,0
CHI,6,ATL,0
CHI,7,NE,1
CHI,8,SEA,0
CHI,9,TB,1
CHI,11,NO,1
CHI,12,DET,0
CHI,13,JAX,1
CHI,14,MIA,0
CHI,15,BUF,0
CHI,16,GB,1
CHI,17,DET,1
CIN,1,TB,1
CIN,2,HOU,0
CIN,3,PIT,0
CIN,4,JAX,1
CIN,5,MIA,0
CIN,7,BAL,0
CIN,8,TEN,1
CIN,9,ATL,0
CIN,10,PIT,1
CIN,11,WSH,0
CIN,12,NO,1
CIN,13,CLE,0
CIN,14,KC,1
CIN,15,CAR,0
CIN,16,IND,0
CIN,17,BAL,1
CLE,1,JAX,0
CLE,2,TB,0
CLE,3,CAR,1
CLE,4,PIT,1
CLE,5,NYJ,0
CLE,6,BAL,1
CLE,7,TEN,0
CLE,8,PIT,0
CLE,9,NO,0
CLE,10,HOU,1
CLE,12,LV,1
CLE,13,CIN,1
CLE,14,ATL,1
CLE,15,NYG,0
CLE,16,BAL,0
CLE,17,IND,1
DAL,1,NYG,0
DAL,2,WSH,1
DAL,3,BAL,1
DAL,4,HOU,0
DAL,5,TB,1
DAL,6,GB,0
DAL,7,PHI,0
DAL,8,ARI,1
DAL,9,IND,0
DAL,10,SF,1
DAL,11,TEN,1
DAL,12,PHI,1
DAL,13,SEA,0
DAL,15,LAR,0
DAL,16,JAX,1
DAL,17,NYG,1
DEN,1,KC,0
DEN,2,JAX,1
DEN,3,LAR,1
DEN,4,SF,0
DEN,5,LAC,0
DEN,6,SEA,1
DEN,7,ARI,0
DEN,8,KC,1
DEN,9,CAR,0
DEN,11,LV,1
DEN,12,PIT,0
DEN,13,MIA,1
DEN,14,NYJ,0
DEN,15,LV,0
DEN,16,BUF,1
DEN,17,NE,0
DET,1,NO,1
DET,2,BUF,0
DET,3,NYJ,1
DET,4,CAR,0
DET,5,ARI,0
DET,7,GB,1
DET,8,MIN,1
DET,9,MIA,0
DET,10,NE,1
DET,11,TB,1
DET,12,CHI,1
DET,13,ATL,0
DET,14,TEN,1
DET,15,MIN,0
DET,16,NYG,1
DET,17,CHI,0
GB,1,MIN,0
GB,2,NYJ,0
GB,3,ATL,1
GB,4,TB,0
GB,5,CHI,1
GB,6,DAL,1
GB,7,DET,0
GB,8,CAR,1
GB,9,NE,0
GB,10,MIN,1
GB,12,LAR,0
GB,13,NO,0
GB,14,BUF,1
GB,15,MIA,1
GB,16,CHI,0
GB,17,HOU,1
HOU,1,BUF,1
HOU,2,CIN,1
HOU,3,IND,0
HOU,4,DAL,1
HOU,5,TEN,0
HOU,6,JAX,0
HOU,7,NYG,1
HOU,9,LAC,0
HOU,10,CLE,0
HOU,11,IND,1
HOU,12,BAL,1
HOU,13,PIT,0
HOU,14,WSH,0
HOU,15,JAX,1
HOU,16,PHI,0
HOU,17,GB,0
IND,1,BAL,1
IND,2,KC,0
IND,3,HOU,1
IND,4,WSH,0
IND,5,PIT,0
IND,6,TEN,1
IND,7,MIN,0
IND,8,JAX,0
IND,9,DAL,1
IND,10,MIA,1
IND,11,HOU,0
IND,12,NYG,1
IND,14,PHI,0
IND,15,TEN,0
IND,16,CIN,1
IND,17,CLE,0
JAX,1,CLE,1
JAX,2,DEN,0
JAX,3,NE,1
JAX,4,CIN,0
JAX,5,PHI,1
JAX,6,HOU,1
JAX,8,IND,1
JAX,9,BAL,0
JAX,10,TEN,0
JAX,11,NYG,0
JAX,12,TEN,1
JAX,13,CHI,0
JAX,14,PIT,1
JAX,15,HOU,0
JAX,16,DAL,0
JAX,17,WSH,1
KC,1,DEN,1
KC,2,IND,1
KC,3,MIA,0
KC,4,LV,0
KC,6,LAC,1
KC,7,SEA,0
KC,8,DEN,0
KC,9,NYJ,1
KC,10,ATL,0
KC,11,ARI,1
KC,12,BUF,0
KC,13,LAR,0
KC,14,CIN,0
KC,15,NE,1
KC,16,SF,1
KC,17,LAC,0
LAC,1,ARI,1
LAC,2,LV,1
LAC,3,BUF,0
LAC,4,SEA,0
LAC,5,DEN,1
LAC,6,KC,0
LAC,8,LAR,0
LAC,9,HOU,1
LAC,10,BAL,0
LAC,11,NYJ,1
LAC,12,NE,1
LAC,13,TB,0
LAC,14,LV,0
LAC,15,SF,1
LAC,16,MIA,0
LAC,17,KC,1
LAR,1,SF,1
LAR,2,NYG,1
LAR,3,DEN,0
LAR,4,PHI,0
LAR,5,BUF,1
LAR,6,ARI,1
LAR,7,LV,0
LAR,8,LAC,1
LAR,9,WSH,0
LAR,10,ARI,0
LAR,12,GB,1
LAR,13,KC,1
LAR,14,SF,0
LAR,15,DAL,1
LAR,16,SEA,0
LAR,17,TB,0
LV,1,MIA,1
LV,2,LAC,0
LV,3,NO,0
LV,4,KC,1
LV,5,NE,0
LV,6,BUF,1
LV,7,LAR,1
LV,8,NYJ,0
LV,9,SF,0
LV,10,SEA,1
LV,11,DEN,0
LV,12,CLE,0
LV,14,LAC,1
LV,15,DEN,1
LV,16,TEN,1
LV,17,ARI,0
MIA,1,LV,0
MIA,2,SF,0
MIA,3,KC,1
MIA,4,MIN,0
MIA,5,CIN,1
MIA,7,NYJ,0
MIA,8,NE,1
MIA,9,DET,1
MIA,10,IND,0
MIA,11,BUF,0
MIA,12,NYJ,1
MIA,13,DEN,0
MIA,14,CHI,1
MIA,15,GB,0
MIA,16,LAC,1
MIA,17,BUF,1
MIN,1,GB,1
MIN,2,CHI,0
MIN,3,TB,0
MIN,4,MIA,1
MIN,5,NO,0
MIN,7,IND,1
MIN,8,DET,0
MIN,9,BUF,1
MIN,10,GB,0
MIN,11,SF,0
MIN,12,ATL,1
MIN,13,CAR,1
MIN,14,NE,0
MIN,15,DET,1
MIN,16,WSH,1
MIN,17,NYJ,0
NE,1,SEA,0
NE,2,PIT,1
NE,3,JAX,0
NE,4,BUF,0
NE,5,LV,1
NE,6,NYJ,1
NE,7,CHI,0
NE,8,MIA,0
NE,9,GB,1
NE,10,DET,0
NE,12,LAC,0
NE,13,BUF,1
NE,14,MIN,1
NE,15,KC,0
NE,16,NYJ,0
NE,17,DEN,1
NO,1,DET,0
NO,2,BAL,0
NO,3,LV,1
NO,4,ATL,1
NO,5,MIN,1
NO,6,NYG,0
NO,7,PIT,1
NO,9,CLE,1
NO,10,CAR,1
NO,11,CHI,0
NO,12,CIN,0
NO,13,GB,1
NO,14,CAR,0
NO,15,TB,0
NO,16,ARI,1
NO,17,ATL,0
NYG,1,DAL,1
NYG,2,LAR,0
NYG,3,TEN,1
NYG,4,ARI,1
NYG,5,WSH,0
NYG,6,NO,1
NYG,7,HOU,0
NYG,9,PHI,0
NYG,10,WSH,1
NYG,11,JAX,1
NYG,12,IND,0
NYG,13,SF,1
NYG,14,SEA,0
NYG,15,CLE,1
NYG,16,DET,0
NYG,17,DAL,0
NYJ,1,TEN,0
NYJ,2,GB,1
NYJ,3,DET,0
NYJ,4,CHI,0
NYJ,5,CLE,1
NYJ,6,NE,0
NYJ,7,MIA,1
NYJ,8,LV,1
NYJ,9,KC,0
NYJ,10,BUF,1
NYJ,11,LAC,0
NYJ,12,MIA,0
NYJ,14,DEN,1
NYJ,15,ARI,0
NYJ,16,NE,1
NYJ,17,MIN,1
PHI,1,WSH,1
PHI,2,TEN,0
PHI,3,CHI,0
PHI,4,LAR,1
PHI,5,JAX,0
PHI,6,CAR,1
PHI,7,DAL,1
PHI,8,WSH,0
PHI,9,NYG,1
PHI,11,PIT,1
PHI,12,DAL,0
PHI,13,ARI,0
PHI,14,IND,1
PHI,15,SEA,1
PHI,16,HOU,1
PHI,17,SF,0
PIT,1,ATL,1
PIT,2,NE,0
PIT,3,CIN,1
PIT,4,CLE,0
PIT,5,IND,1
PIT,6,TB,0
PIT,7,NO,0
PIT,8,CLE,1
PIT,10,CIN,0
PIT,11,PHI,0
PIT,12,DEN,1
PIT,13,HOU,1
PIT,14,JAX,0
PIT,15,BAL,1
PIT,16,CAR,1
PIT,17,TEN,0
SEA,1,NE,1
SEA,2,ARI,0
SEA,3,WSH,0
SEA,4,LAC,1
SEA,5,SF,1
SEA,6,DEN,0
SEA,7,KC,1
SEA,8,CHI,1
SEA,9,ARI,1
SEA,10,LV,0
SEA,12,SF,0
SEA,13,DAL,1
SEA,14,NYG,1
SEA,15,PHI,0
SEA,16,LAR,1
SEA,17,CAR,0
SF,1,LAR,0
SF,2,MIA,1
SF,3,ARI,1
SF,4,DEN,1
SF,5,SEA,0
SF,6,WSH,1
SF,7,ATL,0
SF,9,LV,1
SF,10,DAL,0
SF,11,MIN,1
SF,12,SEA,1
