sos_rank_hardest_to_easiest,team,team_name,own_implied_wins,wk15_opp,wk15_opp_wins,wk16_opp,wk16_opp_wins,wk17_opp,wk17_opp_wins,playoff_sos_avg_opp_wins
1,CHI,Chicago Bears,9.285,BUF,10.801,GB,9.908,DET,10.812,10.507
2,MIA,Miami Dolphins,4.119,GB,9.908,LAC,10.199,BUF,10.801,10.303
3,PHI,Philadelphia Eagles,10.124,SEA,10.715,HOU,9.715,SF,10.337,10.256
4,SF,San Francisco 49ers,10.337,LAC,10.199,KC,10.285,PHI,10.124,10.203
5,KC,Kansas City Chiefs,10.285,NE,9.83,SF,10.337,LAC,10.199,10.122
6,HOU,Houston Texans,9.715,JAX,9.285,PHI,10.124,GB,9.908,9.772
7,CAR,Carolina Panthers,7.092,CIN,10.236,PIT,8.199,SEA,10.715,9.717
8,SEA,Seattle Seahawks,10.715,PHI,10.124,LAR,11.663,CAR,7.092,9.626
9,DAL,Dallas Cowboys,9.285,LAR,11.663,JAX,9.285,NYG,7.609,9.519
10,LAR,Los Angeles Rams,11.663,DAL,9.285,SEA,10.715,TB,8.158,9.386
11,TB,Tampa Bay Buccaneers,8.158,NO,7.663,ATL,7.391,LAR,11.663,8.906
12,CLE,Cleveland Browns,5.5,NYG,7.609,BAL,11.119,IND,7.984,8.904
13,JAX,Jacksonville Jaguars,9.285,HOU,9.715,DAL,9.285,WSH,7.609,8.87
14,DEN,Denver Broncos,9.842,LV,5.961,BUF,10.801,NE,9.83,8.864
15,CIN,Cincinnati Bengals,10.236,CAR,7.092,IND,7.984,BAL,11.119,8.732
16,NE,New England Patriots,9.83,KC,10.285,NYJ,5.609,DEN,9.842,8.579
17,DET,Detroit Lions,10.812,MIN,8.715,NYG,7.609,CHI,9.285,8.536
18,NYG,New York Giants,7.609,CLE,5.5,DET,10.812,DAL,9.285,8.532
19,WSH,Washington Commanders,7.609,ATL,7.391,MIN,8.715,JAX,9.285,8.464
20,LAC,Los Angeles Chargers,10.199,SF,10.337,MIA,4.119,KC,10.285,8.247
21,PIT,Pittsburgh Steelers,8.199,BAL,11.119,CAR,7.092,TEN,6.391,8.201
22,MIN,Minnesota Vikings,8.715,DET,10.812,WSH,7.609,NYJ,5.609,8.01
23,BAL,Baltimore Ravens,11.119,PIT,8.199,CLE,5.5,CIN,10.236,7.978
24,ATL,Atlanta Falcons,7.391,WSH,7.609,TB,8.158,NO,7.663,7.81
25,BUF,Buffalo Bills,10.801,CHI,9.285,DEN,9.842,MIA,4.119,7.749
26,GB,Green Bay Packers,9.908,MIA,4.119,CHI,9.285,HOU,9.715,7.706
27,NYJ,New York Jets,5.609,ARI,3.908,NE,9.83,MIN,8.715,7.484
28,TEN,Tennessee Titans,6.391,IND,7.984,LV,5.961,PIT,8.199,7.381
29,IND,Indianapolis Colts,7.984,TEN,6.391,CIN,10.236,CLE,5.5,7.376
30,LV,Las Vegas Raiders,5.961,DEN,9.842,TEN,6.391,ARI,3.908,6.714
31,NO,New Orleans Saints,7.663,TB,8.158,ARI,3.908,ATL,7.391,6.486
32,ARI,Arizona Cardinals,3.908,NYJ,5.609,NO,7.663,LV,5.961,6.411
